,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
56,Gentle On My Mind,Patti Page,1968-04-16,1968,04,16,It's knowing you don't try to buy my freedom With some promise made of gold That for you my door stays open And our love becomes a simple two way street  And it's knowing we're not shackled By forgotten words and bonds And the ink stains that Have dried upon some line  That keeps you on the back roads By the rivers of my memory That keeps you ever gentle on my mind  It's not clinging to the rocks and ivy Planted on some column now that binds us Or something that somebody said ...  ,0.9356,0.146,0.0,0.854
57,Loving You Has Made Me Bananas,Guy Marks,1968-04-16,1968,04,16,"Verse 1 Oh, your red scarf matches your eyes,  You closed your cover before striking,  Father had the shipfitter blues,  Loving you has made me bananas,   Verse 2 Oh, your red scarf matches your eyes,  ...  ",0.5994,0.106,0.0,0.894
58,100 Years,Nancy Sinatra,1968-04-16,1968,04,16,I'm not gonna say everything is OK Cause OK is not the way that I feel. I'm not gonna be any fool's Christmas tree Let 'em hang gifts on me that aren't real  I'm not gonna take second best I've got no use for the rest. World you better hear what I say ...  ,0.8949,0.209,0.035,0.756
59,Wear It On Our Face,The Dells,1968-04-16,1968,04,16,"We're falling in love, my darling With all our heart and soul Let's put our love somewhere For the whole world to behold  A love like ours Must have a special place I've got the answer, baby Let's wear it on our face Let's wear it on our face  Love is bubbling over, baby Flowing everywhere Our hearts can't hold no more And it's got to go somewhere Whoa, yeah  A love like ours Must have a special place ...  ",0.9896,0.378,0.015,0.606
60,Like To Get To Know You,Spanky And Our Gang,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
61,Impossible Mission (Mission Impossible),Soul Survivors,1968-04-16,1968,04,16,"This little girl of mine She's as cold as ice I asked her did she love me? She told me, no dice  How can I make her love me? How can I make her mine?  This little girl of mine Treats me like her brother Can't that little girl see I want to be her lover  I try to make her love me ...  ",0.96,0.274,0.029,0.696
62,Paying The Cost To Be The Boss,B.B. King,1968-04-16,1968,04,16,"You act like you don't wanna listen When I'm talkin'to you  You think yououtta do, baby Anything, you wanna do You must be crazy Baby  You just gotta be out of your mind As long as I'm payin' the bill, woman I'm payin' the cost to be the boss  I'll drink if I wanna And play a little poker too ...  ",0.3612,0.077,0.038,0.885
63,I Got A Sure Thing,Ollie & The Nightingales,1968-04-16,1968,04,16,"A man can't do No more than a woman'll let him She won't make mistake If she knows she'll regret them A woman'll stick by ya Through thick and thin And a real woman like this I know I got to win  I know (I know I got a sure thing) Honey, I know (I know I got a sure thing) I know (I know I got a sure thing) I got a sure thing (sure thing with my baby)  Listen to this Me and my baby been together ...  ",0.9277,0.225,0.032,0.742
64,Master Jack,Four Jacks And A Jill,1968-04-16,1968,04,16,"It's a strange, strange world we live in, Master Jack You taught me all I know and I'll never look back It's a very strange world and I thank you, Master Jack  You took a colored ribbon from out of the sky And taught me how to use it as the years went by To tie up all your problems and make them look neat And then to sell them to the people in the street  It's a strange, strange world we live in, Master Jack You taught me all I know and I'll never look back ...  ",-0.4939,0.055,0.117,0.828
65,If You Don't Want My Love,Robert John,1968-04-16,1968,04,16,I know you have reservations And you're just along for the ride But I see a slight hesitation What are you trying to hide  Don't be afraid to bare your soul Nothing you say could be too bold I'm growing old  Chorus: If you don't want my love Tell me now cause I'll survive If you don't want my love ...  ,-0.7704,0.064,0.193,0.743
66,Love Is Blue (L'Amour Est Bleu),Claudine Longet,1968-04-16,1968,04,16,"Doux, doux, l'amour est doux Douce est ma vie, ma vie dans tes bras Doux, doux, l'amour est doux Douce est ma vie, ma vie près de toi  Gris, gris, l'amour est gris Pleure mon cur lorsque tu t'en vas Gris, gris, le ciel est gris Tombe la pluie quand tu n'es plus là ...  ",0.0,0.0,0.0,1.0
67,Anything,Eric Burdon & The Animals,1968-04-16,1968,04,16,"For you, my friend, I'd do anything Shine your shoes, anything Lose your blues, make love to you Take you under my wing, anything  For you, my hero, I'd do anything Paint your picture, anything ...  ",0.8519,0.241,0.059,0.7
68,My Girl/Hey Girl,Bobby Vee,1968-04-16,1968,04,16,"I've got sunshine on a cloudy day And when it's cold outside I've got the month of May  I guess you'd say What can make me feel this way My girl (my girl, my girl) Talking 'bout my girl, my girl  Hey, girl, I want you to know I'm gonna miss you so much If you go (please don't go) ...  ",0.4404,0.074,0.026,0.9
69,I Promise To Wait My Love,Martha Reeves & The Vandellas,1968-04-16,1968,04,16,"I promise to wait, my love, right here till you return With a love that's weak and a heart that sadly yearns Yearns because you've left me all alone and blue And to another I know I just can't be true I know that you'll come back home But hurry up, don't take so long 'Cause I love you, need you Even though you've done me wrong I promise to wait, my love, until you finally find The love you're sharin' now is not as real as mine ...  ",0.9379,0.238,0.122,0.64
70,(You Keep Me) Hangin' On,Joe Simon,1968-04-16,1968,04,16,It`s true you have me twisted round your finger and it seems that`s where I belong You know how to hold me to thrill me and control me Just enough to keep me hangin` on For now tomorrow and forever I guess I`m tied to you right or wrong ...  ,0.296,0.099,0.058,0.843
71,May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
72,I Love You,People,1968-04-16,1968,04,16,"I love you, I love you, I love you Yes I do but the words won't come And I don't know what to say  I should tell you I love you, I do The words should explain but the words won't come I shouldn't hide my love deep inside The words should explain but the words won't come  I should tell you just how I feel and I keep try-y-y-in' But something holds me back when I try to tell you  I love you, I love you, I love you Yes I do-o-o I love you, I love you, I love you Yes I do but the words won't come ...  ",0.9968,0.452,0.011,0.537
73,Up On The Roof,The Cryan' Shames,1968-04-16,1968,04,16,"Sugar and spice and all things nice, kisses sweeter than wine. Sugar and spice and all things nice, you know that little girl is mine.  Everybody stops and stares at my baby, when she's walking down the street. People passing by just look at my baby, cause my baby looks so sweet.  You know she's Sugar and spice and all things nice, kisses sweeter than wine. Sugar and spice and all things nice, you know that little girl is mine. ...  ",0.9641,0.225,0.017,0.758
74,Your Heart Is Free Just Like The Wind,Vikki Carr,1968-04-16,1968,04,16,"Your heart is free Just like the wind Your hands reach out But not for mine now  You build a Castle out of sand I taste the water Not the wine now  What went wrong Tell me how How could you do This thing to me, my love  Your heart is free Just like the wind The ring you're wearing Isn't mine now  I feel you're With me everywhere ...  ",0.9153,0.211,0.039,0.75
75,Baby Make Your Own Sweet Music,Jay And The Techniques,1968-04-16,1968,04,16,"Baby, baby  Baby, make your own sweet music Baby, make your own sweet music  Take a loving feeling Add some kissing to it Mix it in your heart and You'll be dancing on the ceiling  Baby, baby You got to make your own music You got to let it groove inside you You only need your soul to guide you And make me wanna play it with you  Baby, baby The melody of love is in you Just open up your heart and listen ...  ",0.967,0.22,0.0,0.78
76,Love In Them There Hills,The Vibrations,1968-04-16,1968,04,16,"Everytime I go out and come home I can hear my Mama say,  Son, How come everytime you come home you come home from thataway? What's up there that ain't down here that's leading you astray? Tried my best to raise you right but you've gone the wicked way. Mama please can't you see ...  ",-0.1053,0.098,0.076,0.826
77,Friends,The Beach Boys,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
78,Does Your Mama Know About Me,Bobby Taylor & The Vancouvers,1968-04-16,1968,04,16,Does your mama know about me Does she know just what I am Will she turn her back on me Or accept me as a man  And what about your dad Did you think of what he'll say Will he be understanding Or does he think the usual way  Maybe I shouldn't worry But I've been through this before And I'd like to get things straight Before I'm knocking on your door  Does your mama know about me Does she know just what I am ...  ,0.8129,0.108,0.0,0.892
79,Greasy Heart,Jefferson Airplane,1968-04-16,1968,04,16,,0.0,0.0,0.0,0.0
80,Unwind,Ray Stevens,1968-04-16,1968,04,16,Get up Get up Get up Get up  Up in the morning At the crack of dawn Just a cup of coffee to go to work on Fight the traffic and the hustle and the bustle of the mob Gotta hurry can't be late for my job  Gotta go at a fast pace Gotta keep up with the rat race Big tranquilizer gets me through the day Work so hard for such a little pay  Just when I think I'm gonna blow my mind The clock strikes five and I can leave it behind Say goodbye to that work day grind Run to you girl and unwind (I can unwind)  ...  ,-0.7486,0.0,0.094,0.906
81,Louisiana Man,Bobbie Gentry,1968-04-16,1968,04,16,"At first Mom an' Poppa called their little girl, Lady They raised her on the banks of a river bed  A house boat tied to a big, tall tree A home for my Poppa an' my Momma and me  The clock strikes three Poppa jumps to his feet Already Momma's cookin' Poppa somethin' to eat At half-past Poppa he's a-ready to go He jumps in his pirogue headed down the bayou  He's got fishin' line strung across the Louisiana River Gotta catch a big fish for us to eat He's settin' his traps catchin' anythin' he can He's gotta make a livin', he's a Louisiana man Gotta make a livin', he's a Louisiana man ...  ",-0.3612,0.0,0.023,0.977
82,Aquarius/Let The Sunshine In,The 5th Dimension,1969-05-09,1969,05,09,When the moon is in the Seventh House And Jupiter aligns with Mars Then peace will guide the planets And love will steer the stars This is the dawning of the Age of Aquarius Age of Aquarius Aquarius Aquarius Aquarius Aquarius Harmony and understanding Sympathy and trust abounding No more falsehoods or derisions Golden living dreams of visions Mystic crystal revelation And the mind's true liberation Aquarius! Aquarius Aquarius! Aquarius  ...  ,0.9682,0.274,0.025,0.701
